Variables,TWITTER_SENTIMENT_DAILY_AVG,TWITTER_PUBLICATION_COUNT,TWITTER_POS_SENTIMENT_COUNT,TWITTER_NEG_SENTIMENT_COUNT,TWITTER_NEUTRAL_SENTIMENT_CNT,PX_OPEN,PX_LOW,PX_HIGH,EQY_WEIGHTED_AVG_PX,VWAP_VOLUME,VWAP_TURNOVER,VWAP_NUM_TRADES,NEWS_SENTIMENT_DAILY_AVG,NEWS_NEUTRAL_SENTIMENT_COUNT,NEWS_POS_SENTIMENT_COUNT,NEWS_NEG_SENTIMENT_COUNT,NEWS_PUBLICATION_COUNT
03/08/18,0.0295,10134,1421,462,7627,207.05,205.49,208.74,207.4324,7390683,1533067390,33138,0.7342,444,674,69,6503
06/08/18,-0.0038,1560,83,83,1215,207.93,207.08,209.25,208.5989,6197819,1292858281,25238,0.1617,160,76,33,2252
07/08/18,-0.006,3764,174,255,3005,209.45,206.76,209.48,207.6018,5711881,1185796523,30763,0.1462,246,105,56,3027
08/08/18,-0.0055,2950,126,183,2323,206.05,204.53,207.8,206.8807,5917961,1224312126,26411,0.1585,178,80,23,2529
09/08/18,0.0054,2103,130,120,1582,207.5,207.36,209.78,209.009,5509220,1151476660,24888,0.136,160,71,23,2116
10/08/18,0.0057,2525,158,133,1914,207.31,206.68,209.09,207.7611,5460077,1134391460,26477,0.1144,210,79,12,2709
13/08/18,-0.0085,925,35,54,555,207.7,207.7,210.95,209.3698,5991699,1254480985,30258,0.0851,42,12,4,1363
14/08/18,0.009,1919,138,131,1365,210.15,208.26,210.56,209.5553,4524786,948193027.5,23151,0.1223,168,69,26,2437
15/08/18,0.0121,1946,165,128,1404,209,208.33,210.73,209.5607,7432281,1557514137,39674,0.1908,159,80,37,3604
16/08/18,-0.01,1947,143,152,1376,211.93,211.47,213.81,213.0252,6871750,1463856059,31393,0.0959,182,62,37,2400
17/08/18,0.0092,1819,134,137,1317,213.47,213.17,217.94,215.9607,7605745,1642542168,41168,-0.1929,134,54,64,2404
20/08/18,-0.0073,1055,61,66,716,218.17,215.11,219.18,216.5008,6088201,1318100547,30933,0.1147,90,36,25,1638
21/08/18,-0.0116,2325,134,197,1695,216.62,214.03,217.19,215.5752,5744819,1238440253,29410,0.1268,208,82,63,2760
22/08/18,-0.0135,2121,109,189,1539,214.24,213.84,216.35,215.1253,4864652,1046509485,22441,0.2057,155,85,49,2155
23/08/18,-0.0048,1935,91,113,1475,214.6,214.6,217.04,215.8279,5055062,1091023185,23530,0.3841,155,126,18,2473
24/08/18,-0.0052,2072,110,123,1568,216.41,215.11,216.89,216.113,4789263,1035021829,22136,0.1439,217,96,25,2182
27/08/18,0.0024,841,34,27,633,217.02,216.33,218.73,217.8186,5078253,1106138076,22112,0.1344,73,28,7,1446
28/08/18,0.0069,1686,106,73,1201,219.01,218.95,220.54,219.6599,5323167,1169286327,28094,0.1408,210,86,10,2663
29/08/18,0.0184,1974,202,99,1363,220.18,219.41,223.49,222.0189,6536153,1451149411,32803,0.1516,164,71,29,2226
30/08/18,0.0124,2280,196,85,1652,223.25,222.41,228.26,225.1376,9926410,2234808301,57095,0.1553,196,85,39,2708
31/08/18,0.0098,4327,340,235,3215,226.64,226.23,228.87,227.627,12050259,2742964577,40176,0.2243,376,214,69,4196
